page_id,batch,page_path,page_type,review_status,readiness_status,review_note,last_reviewed,reviewer,open_blockers,open_major,notes
HOME-001,B1_frame,index.qmd,overview,reviewed,context_only,review/page-reviews/HOME-001.md,2026-08-21,Codex,0,0,Clear site entry point; no actionable finding
POS-001,B1_frame,positioning.qmd,context,not_started,,,,,0,0,Excluded from Batch 1 review at user request on 2026-08-21
METH-001,B1_frame,methodology/overview.qmd,overview,reviewed,partially_implementable,review/page-reviews/METH-001.md,2026-08-21,Codex,0,0,COR-01B aligns the overview to the deterministic method and adds dependency-ordered navigation; downstream component gaps remain
METH-002,B1_frame,methodology/system_boundary_and_lcoe.qmd,calculation,reviewed,partially_implementable,review/page-reviews/METH-002.md,2026-08-21,Codex,0,0,COR-01B defines Tier 1 endpoints units equations cost ownership and missing-input behavior; shared cost values remain unresolved
METH-003,B1_frame,methodology/financial_and_price_basis.qmd,methodology,reviewed,partially_implementable,review/page-reviews/METH-003.md,2026-08-21,Codex,0,1,COR-01B implements simple CRF replacement and decommissioning; provisional WACC evidence remains open
METH-004,B1_frame,methodology/modelling_workflow.qmd,methodology,reviewed,partially_implementable,review/page-reviews/METH-004.md,2026-08-21,Codex,0,0,COR-01B defines deterministic calculation order and explicit feasible infeasible and not-parameterized returns
METH-005,B1_frame,methodology/optimisation_variables.qmd,methodology,reviewed,partially_implementable,review/page-reviews/METH-005.md,2026-08-21,Codex,0,0,COR-01B repurposes the page as the canonical input parameter derived-quantity and output contract; component ranges remain unresolved
METH-006,B1_frame,methodology/energy_availability_and_annualisation.qmd,calculation,reviewed,partially_implementable,review/page-reviews/METH-006.md,2026-08-21,Codex,0,1,COR-01B defines the HHV basis and non-overlapping architecture availability ledger; factor evidence remains open
ARCH-001,B1_frame,architectures/overview.qmd,overview,reviewed,partially_implementable,review/page-reviews/ARCH-001.md,2026-08-21,Codex,0,0,Architecture distinctions are clear; inherits boundary gaps
ARCH-002,B1_frame,architectures/electricity_export_hvdc.qmd,architecture,reviewed,partially_implementable,review/page-reviews/ARCH-002.md,2026-08-21,Codex,0,0,Scope definition is clear; component closure remains incomplete
ARCH-003,B1_frame,architectures/centralised_hydrogen.qmd,architecture,needs_decision,blocked,review/page-reviews/ARCH-003.md,2026-08-21,Codex,1,1,Platform scaling and hydrogen connection unresolved
ARCH-004,B1_frame,architectures/decentralised_hydrogen.qmd,architecture,needs_decision,blocked,review/page-reviews/ARCH-004.md,2026-08-21,Codex,1,0,Export manifold has no canonical owner
ARCH-005,B1_frame,architectures/component_mapping.qmd,scope_control,reviewed,partially_implementable,review/page-reviews/ARCH-005.md,2026-08-21,Codex,0,0,Physical ledger strong; economic and interface mapping incomplete
WIND-001,B2_generation,wind_resource_and_layout/overview.qmd,overview,reviewed,partially_implementable,review/page-reviews/WIND-001.md,2026-08-21,Codex,0,0,Clear dependency overview; inherits child-page resource and layout gaps
WIND-002,B2_generation,wind_resource_and_layout/wind_resource_and_weibull.qmd,calculation,needs_decision,blocked,review/page-reviews/WIND-002.md,2026-08-21,Codex,2,1,Source extraction and representative directions must be corrected before yield adoption
WIND-003,B2_generation,wind_resource_and_layout/wake_modelling_and_spacing.qmd,calculation,needs_decision,blocked,review/page-reviews/WIND-003.md,2026-08-21,Codex,2,2,Area and feasibility rules are missing and turbine definition conflicts
TURB-001,B2_generation,turbine_system/overview.qmd,overview,reviewed,partially_implementable,review/page-reviews/TURB-001.md,2026-08-21,Codex,0,0,Strong dependency and ownership overview; inherits incomplete ledgers
TURB-002,B2_generation,turbine_system/wind_turbine.qmd,calculation,needs_decision,blocked,review/page-reviews/TURB-002.md,2026-08-21,Codex,1,3,Baseline is reproducible but architecture electrical mass and cost are incomplete
TURB-003,B2_generation,turbine_system/foundation.qmd,calculation,needs_decision,blocked,review/page-reviews/TURB-003.md,2026-08-21,Codex,1,2,Surrogate is auditable but installation inventory and cost basis are incomplete
ELEC-001,B3_electrical,electrical_infra/overview.qmd,overview,reviewed,partially_implementable,review/page-reviews/ELEC-001.md,2026-08-21,Codex,1,0,Strong ownership overview; executable ledger and central-hydrogen switchgear owner remain unresolved
