dependency_id,producer_page_id,output_name,symbol,unit,consumer_page_id,input_name,interface_status,issue_ids,notes
DEP-0001,WIND-003,Turbine coordinates,"(x_j,y_j)",km,ELEC-002,Array-layout coordinates,defined_with_uncertainty,ISS-0001,Coordinates are supplied but string assignment and substation placement are not
DEP-0002,TURB-002,Turbine rated power,P_turb,MW,ELEC-002,Turbine capacity,defined_with_uncertainty,ISS-0005,Must be reconciled with discrete string-capacity thresholds
DEP-0003,TURB-002,Rotor diameter,D,m,ELEC-002,Spacing conversion,defined,,
DEP-0004,METH-003,EUR2025 normalisation convention,,dimensionless,ELEC-002,Cost normalisation,defined_with_uncertainty,"ISS-0007; ISS-0013; ISS-0014",ORBIT calculation follows the convention; historical comparator and source stability need work
DEP-0005,ELEC-002,Total cable supply length,L_array,km,INST-003,Physical infield cable inventory,not_parameterized,"ISS-0001; ISS-0002; ISS-0008",Horizontal equation exists but complete length cannot be produced
DEP-0006,ELEC-002,Cable sections by type,E,section list,INST-003,Section and lay-unit inventory,ambiguous,"ISS-0001; ISS-0006",Installation requires section lengths and cable type for every edge
DEP-0007,ELEC-002,Cable mass by section,,t,INST-003,Vessel loading inventory,ambiguous,"ISS-0006; ISS-0013",Installation example currently applies 630 mm2 mass to all sections
DEP-0008,ELEC-002,Infield electrical loss,,MWh/year,METH-006,Component energy loss,missing,ISS-0003,Shared methodology requires this loss
DEP-0009,ELEC-002,Array-network availability,A_array,dimensionless,METH-006,Annual energy multiplier,defined_with_uncertainty,ISS-0010,99.0% has no evidence or sensitivity
DEP-0010,ELEC-002,Cable supply CAPEX,C_supply,EUR2025,METH-002,Component CAPEX,defined_with_uncertainty,"ISS-0006; ISS-0007; ISS-0008",Equation is defined but depends on incomplete length and aggregate cost
DEP-0011,ELEC-002,Annual cable OPEX,C_OPEX,EUR2025/year,METH-002,Annual component OPEX,defined_with_uncertainty,ISS-0009,Relationship is executable but unsupported
DEP-0012,ELEC-002,String and feeder count,n_string,count,ELEC-003,Offshore collection bays,inconsistent,"ISS-0004; ISS-0005",Worked case requires 34 while reference platform indicates at most 28 candidate bays
DEP-0013,ELEC-002,Offshore AC collection interface,,66 kV,H2P-005,Central electrolyser upstream AC interface,ambiguous,ISS-0012,Canonical switchgear cost and mass owner is missing for centralised hydrogen
DEP-0014,ARCH-005,Architecture component ledger,,component set,METH-004,Architecture branch,defined_with_uncertainty,"ISS-0012; ISS-0017; ISS-0028; ISS-0029; ISS-0030",Physical equipment mapping is strong but lifecycle and several interface owners are missing
DEP-0015,METH-004,Scenario and design-variable taxonomy,,parameter schema,METH-005,Optimisation design vector,inconsistent,"ISS-0020; ISS-0022",Stack overplanting and pipeline variables have conflicting roles
DEP-0016,METH-005,Feasible design record,,design record,METH-004,Integrated model evaluation,ambiguous,"ISS-0021; ISS-0022",Bounds constraints and selection rules are not defined
DEP-0017,WIND-003,Wake-adjusted production profile,P_wind(t),MW,METH-004,Time-resolved generation input,ambiguous,ISS-0021,Workflow does not define temporal resolution or handoff schema
DEP-0018,METH-006,Annual delivered energy,E_delivered,MWh/year,METH-002,LCOE denominator,ambiguous,"ISS-0015; ISS-0024; ISS-0025",Endpoint and availability combination are unresolved
DEP-0019,METH-003,Equivalent annual project cost,C_annual,EUR2025/year,METH-002,LCOE numerator,not_parameterized,"ISS-0017; ISS-0018; ISS-0019",Simple CAPEX annuity exists but full lifecycle project cost does not
DEP-0020,METH-003,EUR2025 cost normalisation,,normalisation rule,all component pages,Common price basis,defined_with_uncertainty,ISS-0018,Formula and FX are clear; WACC is separate and unsupported
DEP-0021,H2P-003,Stack replacement schedule and cost,,cash-flow series,METH-003,Replacement expenditure,not_parameterized,ISS-0019,Replacement is identified but no project DCF handoff is defined
DEP-0022,ELEC-004,HVDC link-count rule,N_link,count,METH-005,Discrete electricity export design,defined_with_uncertainty,ISS-0023,Canonical equation exists downstream but is not linked from optimisation method
DEP-0023,METH-006,Availability ledger by architecture,,multiplier or state model,METH-004,Annual energy calculation,inconsistent,"ISS-0024; ISS-0025",No combination rule and component values conflict
DEP-0024,H2P-003,PEM stack availability,A_stack,dimensionless,METH-006,Electrolyser availability treatment,inconsistent,ISS-0024,99.5% stack value conflicts with 98.5% electrolyser value and bundling is undefined
DEP-0025,ARCH-003,Integrated-platform count,N_platform,count,PLAT-001,Platform structural and material calculation,not_parameterized,ISS-0027,Architecture fixes one platform without a capacity or multiplicity rule
DEP-0026,H2P-003,Central-platform stack mass,m_stack,t,PLAT-001,Hosted-equipment mass,missing,ISS-0027,Stack page has no mass model
DEP-0027,PLAT-001,Platform material CAPEX,C_platform,EUR2025,METH-002,Component CAPEX,not_parameterized,ISS-0027,No adopted mass-to-cost relationship
DEP-0028,H2I-001,Onshore hydrogen-connection interface,,interface record,ARCH-003,Hydrogen delivery point,missing,ISS-0028,Owner page does not define terminal equipment specification or cost
DEP-0029,H2I-001,Onshore hydrogen-connection interface,,interface record,ARCH-004,Hydrogen delivery point,missing,ISS-0028,Owner page does not define terminal equipment specification or cost
DEP-0030,H2I-002,Infield header outlets,,flow and pressure,ARCH-004,Export-manifold inlet,missing,ISS-0029,Infield owner explicitly excludes the connecting manifold
DEP-0031,ARCH-004,Export manifold and connections,,component definition,H2I-004,Export-pipeline inlet,missing,ISS-0029,No canonical owner for sizing losses mass cost or installation
DEP-0032,ARCH-005,Common lifecycle-cost ledger,,cost-category set,METH-002,Complete project cost boundary,missing,"ISS-0017; ISS-0030",Development finance insurance contingency and terminal treatments are not mapped
DEP-0033,WIND-002,Controlled directional resource,"p_s;k_s;c_s;wd_s",mixed,WIND-003,Wake-model resource input,defined_with_uncertainty,"ISS-0031; ISS-0032; ISS-0033; ISS-0060",Numerical table exists but source and representative direction are not controlled
DEP-0034,TURB-002,Canonical wake turbine definition,"D;H_h;P(v);C_T(v)",mixed,WIND-003,Turbine curve and geometry,inconsistent,ISS-0036,Wake page uses a separate synthetic turbine
DEP-0035,WIND-003,Turbine coordinates,"x_j;y_j",km,ELEC-002,Array topology coordinates,defined_with_uncertainty,"ISS-0034; ISS-0035",Area boundary and feasibility are unresolved
DEP-0036,WIND-003,Turbine coordinates,"x_j;y_j",km,H2I-002,Hydrogen collection topology coordinates,defined_with_uncertainty,"ISS-0034; ISS-0035",Area boundary and feasibility are unresolved
DEP-0037,WIND-003,Wake-affected farm power,"P_farm(wd;ws)",MW,METH-006,Annual energy input,defined_with_uncertainty,"ISS-0031; ISS-0032; ISS-0033; ISS-0036; ISS-0037",Resource and wake configuration are not validated
DEP-0038,WIND-003,Farm area,A_farm,km2,METH-005,Cost-density denominator,ambiguous,ISS-0034,Edge and setback convention is undefined
DEP-0039,TURB-002,Complete conventional turbine mass,m_turb,t,TURB-003,Supported mass,missing,ISS-0038,Electrical component masses are incomplete
DEP-0040,TURB-002,Complete direct-DC turbine mass,m_turb_DC,t,TURB-003,Supported mass,missing,"ISS-0038; ISS-0045",Retained direct-DC equipment is not quantified
DEP-0041,TURB-002,Turbine lift ledger,,lift records,INST-002,Turbine installation inputs,missing,ISS-0038,Architecture electrical lifts are absent
DEP-0042,TURB-002,Turbine supply CAPEX,C_turb,EUR2025,METH-002,Component CAPEX,ambiguous,ISS-0039,Architecture deltas versus calibrated reference are undefined
DEP-0043,TURB-003,Monopile mass,m_MP,t,INST-002,Foundation installation mass,defined_with_uncertainty,ISS-0041,Surrogate response to architecture mass is unsupported
DEP-0044,TURB-003,Transition-piece mass,m_TP,t,INST-002,Foundation lift mass,missing,ISS-0043,Only a cost fraction is supplied
DEP-0045,TURB-003,Scour-protection quantity,,t or m3,INST-002,Scour installation input,missing,ISS-0043,Owner and quantity are not defined
DEP-0046,H2P-003,PEM polarisation envelope,"V_stack(I;state)",V and A,H2P-002,Direct-DC operating-point relation,missing,ISS-0047,Figure is not a numerical model
DEP-0047,TURB-002,Generator and retained converter envelope,,capability map,H2P-002,Direct-DC electrical matching,missing,"ISS-0038; ISS-0044; ISS-0045",Voltage speed current losses and topology are absent
DEP-0048,H2P-002,Direct-DC feasibility state,,state,METH-005,Architecture feasibility constraint,missing,ISS-0044,No numerical envelope is available
DEP-0049,H2P-002,Retained direct-DC mass/cost/loss,,component ledger,TURB-002,Architecture electrical delta,missing,ISS-0045,Functions are allocated but not quantified
DEP-0050,H2P-003,Hydrogen production curve,"m_H2(P;state)",kg/h,METH-006,Annual hydrogen production,missing,"ISS-0047; ISS-0048; ISS-0049; ISS-0050",Curve dispatch and degradation are not canonical
DEP-0051,H2P-003,Stack replacement schedule,,timed events,METH-003,Lifecycle cash-flow ledger,missing,ISS-0050,No executable replacement event or reset exists
DEP-0052,H2P-003,Stack module count and capacity,,count and MW,H2P-004,BOP train sizing,inconsistent,"ISS-0048; ISS-0053",Module basis and BOP train relationship are undefined
DEP-0053,H2P-003,Stack equipment mass/lifts,,t and lift records,PLAT-001,Central platform hosted load,missing,ISS-0052,No stack mass model
DEP-0054,H2P-003,Stack equipment mass/lifts,,t and lift records,TURB-002,Decentral turbine supported load,missing,ISS-0052,No stack mass model
DEP-0055,H2P-004,BOP auxiliary demand,"P_BOP(P;state)",MW,H2P-003,Stack input power,inconsistent,ISS-0055,Page constant and code curve differ
DEP-0056,H2P-004,BOP equipment mass/lifts,,t and lift records,PLAT-001,Central platform hosted load,missing,ISS-0052,No BOP mass model
DEP-0057,H2P-004,BOP equipment mass/lifts,,t and lift records,TURB-002,Decentral turbine supported load,missing,ISS-0052,No BOP mass model
DEP-0058,H2P-005,Central stack DC power,P_stack_DC,MW,H2P-003,Stack power input,inconsistent,ISS-0058,Page and code efficiency differ
DEP-0059,H2P-005,Conversion-package mass/lifts,,t and lift records,PLAT-001,Central platform hosted load,missing,ISS-0052,Cost and efficiency are provided without physical inventory
DEP-0060,ELEC-003,Converter-pair CAPEX,C_converter_pair,EUR2025,METH-002,Electricity-export component CAPEX,incorrect,"ISS-0061; ISS-0062",Source 2025 value is escalated twice and offshore equipment is proxied by onshore cost
