input_id,page_id,symbol,name,value_or_equation,unit,input_class,source_citation,source_location,price_year,currency,scope,normalisation,uncertainty,downstream_consumers,verification_status,issue_ids,notes
INP-0001,ELEC-002,P_target,Target wind-farm capacity,scenario value,MW,scenario_input,,Scenario definition,,,Array-network sizing,None,Scenario dependent,"N_turb; P_farm; n_string",not_applicable,,Must be positive
INP-0002,ELEC-002,P_turb,Turbine rated power,model variable,MW,scenario_input,,TURB-002,,,One turbine,None,Model range not yet reconciled with cable voltage,"N_turb; n_turb/string",not_checked,ISS-0005,
INP-0003,ELEC-002,P_string,Usable active-power rating per radial string,64-66,MW,modelling_assumption,tennet2015JTubes,String Capacity Model,,,One feeder connection,None,"Interval can span discrete turbine-count thresholds","n_turb/string; n_string; feeder bays",partially_verified,"ISS-0004; ISS-0005",TenneT evidence supports a conservative 64 MW basis
INP-0004,ELEC-002,V_array,Array-system nominal voltage,66,kV,sourced_input,"carbonTrust2014SixtySixKV; nexans2018Borssele66KV; tennet2024TwoGWProgram",Why 66 kV Is the Reference Voltage,,,Fixed-bottom static array network,None,132 kV future option,"cable rating; switchgear; losses",verified,ISS-0011,
INP-0005,ELEC-002,D,Rotor diameter,upstream model value,m,scenario_input,,WIND-003/TURB-002,,,Turbine and layout,None,Scenario dependent,"d_x; d_y; coordinates",not_checked,,
INP-0006,ELEC-002,s_x,Along-string turbine spacing,upstream model value,rotor diameters,scenario_input,,WIND-003,,,Layout,None,Scenario dependent,"d_x; coordinates",not_checked,,
INP-0007,ELEC-002,s_y,Cross-string turbine spacing,upstream model value,rotor diameters,scenario_input,,WIND-003,,,Layout,None,Scenario dependent,"d_y; coordinates",not_checked,,
INP-0008,ELEC-002,A_farm,Gross farm area,scenario value,km2,scenario_input,,Scenario definition,,,Site boundary,None,Scenario dependent,"coordinate feasibility; validation",not_checked,,
INP-0009,ELEC-002,aspect_ratio,Farm-boundary aspect ratio,scenario value,dimensionless,scenario_input,,Scenario definition,,,Site boundary,None,Scenario dependent,"coordinate feasibility; cable length",not_checked,,
INP-0010,ELEC-002,"(x_OSS,y_OSS)",Offshore collection-point coordinate,unresolved,km,unresolved_input,,Cable-Length Model,,,Layout topology,None,Materially changes first section of each string,"E; L_horizontal",unsupported,ISS-0001,No owner or placement rule defined
INP-0011,ELEC-002,r,Pre-route length allowance,20%,dimensionless,modelling_assumption,internalModelDescription2026,Routing allowance,2026,,Pre-route horizontal length,None,5-20% suggested sensitivity,"L_array; supply CAPEX; installation",unsupported,ISS-0008,Internal source provides an ad hoc rationale only
INP-0012,ELEC-002,L_pull-in,Total vertical and interface cable length,unresolved,km,unresolved_input,,Cable-Length Model,,,All turbine and platform pull-ins,None,Water depth and interface geometry required,"L_array; supply CAPEX; installation",unsupported,ISS-0002,
INP-0013,ELEC-002,c_cable,Blended cable-supply unit cost,400,EUR2025/m,modelling_assumption,"orbit2026Cable185; orbit2026Cable630; prysmian2019HollandseKustZuid; prysmian2019AnnualReport",Cost Model,2025,EUR,"Cable and stated normal supply accessories; installation excluded","ORBIT USD2024 values converted with CPI-U and ECB FX; historical comparator left in 2019 EUR",200-600 engineering sensitivity,"C_supply; C_OPEX",partially_verified,"ISS-0006; ISS-0007; ISS-0013; ISS-0014",Adopted value is not a calculated blend
INP-0014,ELEC-002,f_OPEX,Annual cable OPEX allowance,2%/year,1/year,modelling_assumption,"oreCatapult2022SPARTA; oreCatapult2023ELECTRODE",OPEX Allowance,,,Inspection and physical repair provision; lost generation excluded,None,1-3%/year suggested sensitivity,"annual cost; LCOE",unsupported,ISS-0009,Cited evidence does not derive the percentage
INP-0015,ELEC-002,A_array,Array-network energy-equivalent availability,99.0%,dimensionless,modelling_assumption,,Reliability and Availability,,,Array network,None,No sensitivity supplied,"annual delivered energy; LCOE",unsupported,ISS-0010,Flat aggregate factor
INP-0016,ELEC-002,I_185,ORBIT 185 mm2 cable current rating,445,A,sourced_input,orbit2026Cable185,Public Reference Cable Data,2024,USD,ORBIT screening cable at stated 2 m burial,None,Installed-condition transferability,"cable selection; string segment capacity",verified,ISS-0013,
INP-0017,ELEC-002,m_185,ORBIT 185 mm2 cable linear mass,26.1,t/km,sourced_input,orbit2026Cable185,Public Reference Cable Data,2024,USD,ORBIT screening cable,None,Product-specific,"installation loading; supply inventory",verified,ISS-0013,
