parameter,symbol,installation_class,source_value,source_unit,favourable,typical,difficult,model_unit,activities_included,source_price_year,evidence_status,limitation,source_url,source_location,access_date
Assets per lay pass,g_lay,66-132 kV array,1,physical cables/pass,1,1,1,physical cables/pass,Actual simultaneous lay,not applicable,supported,One three-core cable section per pass,https://nlrwindsystems.github.io/ORBIT/methods/install/ArrayCableInstall.html,Overview and Processes,2026-07-31
Effective integrated rate,q_eff,66-132 kV array,0.05-0.5 with 0.2 typical operating burial rate,km/h,5.0,3.0,0.8,route-km/day/pass,Routine lay-bury positioning normal weather minor interruptions and survey,not applicable,provisional,Screening achieved rates are recommendations below public operating-rate envelope; contractor replacement required,https://www.nrel.gov/docs/fy20osti/77081.pdf,Section 3.4 p29 and Table 8 p30,2026-07-31
Primary vessel rate proxy,r_primary,66-132 kV array,225000,USD/day,214882,214882,214882,2026 EUR/day,Primary CLV only,2023,supported proxy,Not complete spread or commercial European quote,https://docs.nrel.gov/docs/fy23osti/86864.pdf,Appendix F Table F7 printed p84 PDF p96,2026-07-31
Complete spread rate,r_spread,66-132 kV array,not found,2026 EUR/day,RFI,RFI,RFI,2026 EUR/day,Contract-defined CLV burial tool ROV support crew fuel and overhead,2026,supplier or contractor input required,Do not add support or burial twice,,,2026-07-31
Mobilisation,mob_days,66-132 kV array,3 and 7,days,3,7,RFI,days/campaign,Mobilisation and demobilisation as quote defines,mixed,provisional,Public model assumptions not quotes,https://nlrwindsystems.github.io/ORBIT/tutorials/available_outputs.html,72 h mobilisation in example output,2026-07-31
Connection blocking time,t_conn,66-132 kV array,11,h/end,11,11,RFI,h/end,5.5 h pull-in plus 5.5 h terminate-test if CLV blocking,not applicable,supported proxy,Move nonblocking completion to unit cost,https://www.nrel.gov/docs/fy20osti/77081.pdf,Table 7 p30,2026-07-31
Port product load time,t_port_load,all cable,6,h/load,6,6,RFI,h/load,Product loading only,not applicable,supported proxy,Not full reload turnaround,https://www.nrel.gov/docs/fy20osti/77081.pdf,Table 7 p30,2026-07-31
Inline cable joint time,t_joint,HVDC export,48,h/joint,48,48,RFI,h/joint,Offshore inline splice,not applicable,supported proxy,Technology-specific confirmation required,https://www.nrel.gov/docs/fy20osti/77081.pdf,Table 7 p30 and Section 3.5,2026-07-31
Cable linear mass,lambda,66 kV array,20-50,t/km,product,product,product,t/physical-km,One installed physical cable,not applicable,supported range,Project cable datasheet governs,https://www.eib.org/attachments/registers/213994748.pdf,Table 7.1,2026-07-31
Cable linear mass,lambda,132 kV array,125,t/km,product,product,product,t/physical-km,One installed physical cable,not applicable,contextual only,Single technology-catalogue value not universal,https://ens.dk/media/3859/download,Table 5.2,2026-07-31
Assets per lay pass,g_lay,320-525 kV HVDC,1 separate or 2 bundled,physical power cables/pass,2,1 or 2,1,physical power cables/pass,Actual simultaneous lay,not applicable,supported options,Three-cable poles-plus-return bundling requires project proof,https://www.boem.gov/sites/default/files/renewable-energy-program/Studies/TAP/722AA.pdf,Section 5.3 pp35-37,2026-07-31
Effective integrated rate,q_eff,320-525 kV HVDC,no public achieved campaign rate,km/day,5.0,3.0,0.8,route-km/day/pass,Routine selected lay-bury package,not applicable,provisional,Contractor achieved data required,https://www.nrel.gov/docs/fy20osti/77081.pdf,Operating-rate anchors in Section 3.4 and Table 8,2026-07-31
Primary vessel rate proxy,r_primary,320-525 kV HVDC,300000,USD/day,286510,286510,286510,2026 EUR/day,Primary export CLV only,2023,supported proxy,Not complete spread or commercial European quote,https://docs.nrel.gov/docs/fy23osti/86864.pdf,Appendix F Table F7 printed p84 PDF p96,2026-07-31
