parameter,symbol,installation_class,favourable,typical,difficult,unit,original_value,original_currency,price_year,technical_scope,included,excluded,geographic_scope,source_location,direct_link,access_date,evidence_status,limitation
Piled jacket net site occupation,t_J_eff,piles+jacket,,5.0,,day/OSS,5,,2021,"one piled jacket foundation","ordinary template/piling and jacket installation within stated COP envelope","relief drilling; exceptional seabed work; full commissioning",US Atlantic,"CVOW COP Section 3.4.1.3 around p3-43",https://www.boem.gov/sites/default/files/documents/renewable-energy/state-activities/CVOW-Commercial-COP-Sections-1-3.pdf,2026-07-31,supported planning anchor,"no sourced favourable/difficult point values; use activity calculation for scenarios"
Topside net placement,t_S_eff,topside,,2.5,,day/lift,2.5,,2021,"one topside lift and placement","ordinary HLV placement/mating","long offshore hook-up and commissioning",US Atlantic,"CVOW COP Section 3.4.1.3 around p3-43",https://www.boem.gov/sites/default/files/documents/renewable-energy/state-activities/CVOW-Commercial-COP-Sections-1-3.pdf,2026-07-31,supported planning anchor,"no sourced favourable/difficult point values; not applicable to float-over or split modules without adjustment"
Generic HLV day-rate proxy,r_HLV,jacket+topside,289717,,,EUR/day,312306,USD,2024,"generic ORBIT heavy-lift vessel inferred from output event","generic vessel rate as represented in model output","deck carrier; support; jacket-specific piling; large-SSCV premium",generic,"72 h HLV mobilisation cost USD 936918 implies USD 312306/day",https://nlrwindsystems.github.io/ORBIT/tutorials/available_outputs.html,2026-07-31,inferred model proxy,"not a quote or complete spread; do not apply automatically to large HVDC lifts"
Generic HLV mobilisation duration,t_mob_HLV,jacket+topside,3,7,,day,3,,2024,"generic ORBIT HLV event and historical NREL context","mobilisation duration assumption","named-vessel transit and setup",generic,"ORBIT event implies 72 h; NREL Table 6 contextual 7 d",https://nlrwindsystems.github.io/ORBIT/tutorials/available_outputs.html,2026-07-31,"3 d inferred; 7 d contextual","contract terms and vessel origin dominate"
Historical HLV rate,r_HLV_hist,jacket+topside,,,,USD/day,500000,USD,unknown,"generic heavy-lift vessel","vessel rate in historical NREL model","clear price year and complete support scope",generic,"NREL/Applied Energy Table 6",https://docs.nrel.gov/docs/fy21osti/78126.pdf,2026-07-31,contextual only,"not normalized because price year is insufficiently clear"
Historical feeder rate,r_carrier_hist,transport,,,,USD/day,100000,USD,unknown,"generic feeder","generic vessel rate","clear price year and project-specific deck-carrier scope",generic,"NREL/Applied Energy Table 6",https://docs.nrel.gov/docs/fy21osti/78126.pdf,2026-07-31,contextual only,"not normalized; feeder may not represent a heavy deck carrier"
Piles per platform,N_pile_OSS,piles,,,,pile/OSS,,,,"legs times piles per leg or explicit schedule","all foundation piles","pin piles and temporary anchors unless specified",project-specific,"engineering design required",,2026-07-31,site-specific input required,"do not infer from jacket leg count alone"
Effective pile penetration rate,q_drive_eff,piles,,,,m/h,,,,"site pile-soil-hammer system","only stated normal pauses and soft-start","relief drilling; refusal remediation",site-specific,"geotechnical/contractor design required",,2026-07-31,site-specific input required,"no transferable public rate located"
Pile handling time,t_handle_pile,piles,,,,h/pile,,,,"release upend lower stab survey","only named tasks","penetration and remediation",project-specific,"lift plan and contractor input required",,2026-07-31,supplier or contractor input required,"depends on pile length mass rigging and pre/post-pile method"
Template set and recovery,t_template,piles,,,,h/OSS,,,,"pre-pile template campaign","placement leveling survey recovery as stated","pile driving",project-specific,"contractor method statement required",,2026-07-31,supplier or contractor input required,"omit for post-pile method"
Jacket lift mass,m_J,jacket,,,,t,,,,"jacket plus lift-applicable attachments","installed lift unit","rigging unless added separately",project-specific,"fabricator lift-weight report required",,2026-07-31,project input required,"must use certified lift weight and contingency"
Jacket footprint,A_J,jacket,,,,m2,,,,"transport and set-down envelope","effective dimensions and clearance","simple steel plan area only",project-specific,"fabricator and carrier stow plan required",,2026-07-31,project input required,"drives carrier and clearance feasibility"
Topside lift mass,m_S,topside,,,,t,,,,"topside module plus lift-applicable attachments","installed lift unit","rigging unless added separately",project-specific,"fabricator lift-weight report required",,2026-07-31,project input required,"use modules separately if split lift"
Topside envelope,B_S L_S H_S,topside,,,,m,,,,"maximum transport/lift dimensions","structure and required clearance","mass-only approximation",project-specific,"fabricator and lift plan required",,2026-07-31,project input required,"windage hook height and boom clearance may bind"
Crane capacity at radius,SWL(R),jacket+topside,,,,t,,,,"named crane configuration at actual radius","rated chart capacity","brochure maximum",vessel-specific,"named vessel lift chart required",https://www.heerema.com/heerema-marine-contractors/fleet/sleipnir,2026-07-31,supplier or contractor input required,"include tandem synchronization rigging and dynamic factors"
Dynamic lift factor,gamma_dyn,jacket+topside,,,,fraction,,,,"engineered lift and metocean","dynamic amplification as specified","unrelated contingency",project-specific,"lift engineering required",,2026-07-31,supplier or contractor input required,"not safely transferable between vessel lift method and sea state"
Jacket connection time,t_connect_J,jacket,,,,h/OSS,,,,"level grout weld or mechanical connection","only critical HLV occupation","pile installation and cure if overlapped",project-specific,"contractor method statement required",,2026-07-31,supplier or contractor input required,"scope and critical-path overlap must be explicit"
Topside mating time,t_mate_S,topside,,,,h/lift,,,,"set down alignment welding/grouting and rig release","only critical HLV occupation","electrical hook-up and commissioning",project-specific,"contractor method statement required",,2026-07-31,supplier or contractor input required,"no mass-linear relationship evidenced"
Structures per carrier load,n_structure_load,transport,1,1,1,structure/load,1,,2021,"large jacket or topside carrier voyage","one structure per deck carrier","small structures with proven multi-load stow",US Atlantic,"CVOW COP construction envelope",https://www.boem.gov/sites/default/files/documents/renewable-energy/state-activities/CVOW-Commercial-COP-Sections-1-3.pdf,2026-07-31,supported screening assumption,"engineered stow plan can replace"
Carrier day rate,r_carrier,transport,,,,EUR/day,,,,"named deck carrier/barge and tugs","must define tow or self-propelled scope","HLV and support unless included",market-specific,"no current consistently scoped public rate located",,2026-07-31,supplier or contractor input required,"major unresolved cost input"
Carrier load-out duration,t_load,transport,,,,day/load,,,,"yard load-out and seafastening","only named port activities","fabrication and storage",yard-specific,"fabricator/carrier method required",,2026-07-31,supplier or contractor input required,"can be critical to carrier cycle"
Hook-up commissioning duration,t_H,hook-up,,,,day/OSS,,,,"mechanical electrical controls testing after set","explicit remaining offshore work","topside lift and onshore commissioning",project-specific,"owner/EPCI completion plan required",https://www.boem.gov/sites/default/files/documents/renewable-energy/state-activities/Public_Sec%201-3.pdf,2026-07-31,site-specific input required,"CVOW confirms it can greatly exceed net lift duration but does not transfer generically"
Hook-up spread rate,r_H,hook-up,,,,EUR/day,,,,"accommodation and commissioning spread","named vessels crew and ordinary services","HLV unless retained",market-specific,"no current consistently scoped public rate located",,2026-07-31,supplier or contractor input required,"must match parallel work fronts and POB"
Relief drilling duration,t_drill,piles,,,,h/pile,,,,"site-specific pile remediation","drilling and named support","normal driving",site-specific,"no transferable public rate located",,2026-07-31,unresolved TODO,"geotechnical and contractor input required"
Underwater noise mitigation,C_noise,piles,,,,EUR/OSS,,,,"permit-specific mitigation spread","only named equipment support and vessel time","ordinary piling unless quote includes it",site-specific,"no transferable public unit cost located",,2026-07-31,site-specific input required,"method and acoustic limits dominate"
Seabed preparation cost,C_prep,exceptional,,,,EUR/OSS,,,,"dredging leveling boulder or UXO work as designed","named exceptional scope","normal positioning and survey",site-specific,"no transferable public unit cost located",,2026-07-31,site-specific input required,"keep outside normal jacket duration"
Scour protection cost,C_scour,exceptional,,,,EUR/OSS,,,,"designed rock or mattress campaign","named supply and install scope","foundation installation if separate",site-specific,"no transferable public unit cost located",,2026-07-31,site-specific input required,"requires quantities gradation port and vessel"
2024 USD to 2026 EUR factor,F_2024USD_2026EUR,both,0.9276715,0.9276715,0.9276715,EUR/USD,0.9276715,,2026,"US CPI-U escalation then ECB 30 July 2026 FX","price escalation and exchange conversion","geographic and vessel-market adjustment",US/EU,"BLS CPI and ECB reference-rate calculation",https://www.bls.gov/news.release/archives/cpi_07142026.htm,2026-07-31,supported,"CPI does not reproduce heavy-lift vessel market movements"
