parameter,symbol,installation_class,favourable,typical,difficult,unit,original_value,original_currency,price_year,technical_scope,included,excluded,geographic_scope,source_location,direct_link,access_date,evidence_status,limitation
WTIV day rate,r_WTIV,both,371069,371069,,EUR/day,400000,USD,2024,"generic WTIV planning input","vessel and ordinary onboard capability in ORBIT configuration","feeders; project-specific support; exceptions",generic,"displayed vessel configuration",https://nlrwindsystems.github.io/ORBIT/tutorials/introduction.html,2026-07-31,supported model proxy,"not a contractor quote; difficult case may require another vessel class"
Feeder day rate,r_feeder,both,86915,86915,,EUR/day,93692,USD,2024,"generic feeder planning input","feeder vessel in ORBIT configuration","WTIV; other support",generic,"displayed feeder configuration",https://nlrwindsystems.github.io/ORBIT/tutorials/introduction.html,2026-07-31,supported model proxy,"not a contractor quote or complete spread"
WTIV mobilisation duration,t_mob,both,7,7,,day,7,,2024,"generic WTIV mobilisation","chargeable time assumption","port-specific mobilisation work",generic,"displayed vessel configuration",https://nlrwindsystems.github.io/ORBIT/tutorials/introduction.html,2026-07-31,"supported model input","commercial terms and mob multiplier must be confirmed; difficult class requires supplier input"
Foundation normal no-delay site occupation,t_F_site_eff,foundation,2.0,3.0,4.0,day/location,2-4,,2021,"normal driven monopile and transition section with 24-hour work and no delays","handling; simple drive; TP/secondary interface","weather; sea delays; port transit; load-out; relief drilling; exceptions",US Atlantic,"South Fork COP Section 3 p3-28",https://www.boem.gov/Volume-I-Construction-and-Operations-Plan/,2026-07-31,supported screening bracket,"use activity calculation when inputs exist; project assumption rather than measured universal rate"
Turbine effective site occupation,t_T_site_eff,turbine,,,,day/turbine,,,2026,"component-by-component erection","positioning; jacking; releases; lifts; attachments and explicitly selected accessibility","port transit; load-out; extraordinary standby; repair",site-specific,"ORBIT supports task calculation but no transferable favourable/typical/difficult point values were located",https://nlrwindsystems.github.io/ORBIT/methods/install/TurbineInstall.html,2026-07-31,site-specific input required,"calculate from tasks and site/month accessibility; Sofia elapsed calendar is validation only"
Position vessel,t_pos,both,2,2,2,h,2,,2020,"per offshore location","normal positioning","jacking and survey",generic,"NREL report Table 4 and Table 5",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supported model assumption,"planning assumption rather than field measurement"
ROV survey,t_survey,foundation,1,1,1,h,1,,2020,"per monopile location","routine ROV survey","special survey/remediation",generic,"NREL report Table 4 p30",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supported model assumption,"quote boundary must confirm ROV included"
Fasten monopile,t_fast_MP,foundation,12,12,12,h/component,12,,2020,"port sea fastening","routine fastening","load crane queues and port delays",generic,"NREL report Table 4 p30",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supported model assumption,"project-specific fastening may differ"
Fasten transition piece,t_fast_TP,foundation,8,8,8,h/component,8,,2020,"port sea fastening","routine fastening","port delays",generic,"NREL report Table 4 p30",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supported model assumption,"omit for extended monopile; model secondary steel separately"
Release monopile,t_release_MP,foundation,3,3,3,h/component,3,,2020,"offshore release","ordinary release","repair/re-rigging",generic,"NREL report Table 4 p30",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supported model assumption,"vessel and rack specific"
Drive rate,q_drive_eff,foundation,,,,m/h,,,,"site pile-soil-hammer system","must explicitly define ordinary pauses and soft-start","relief drilling; refusal remediation",site-specific,"ORBIT equation 3.6 identifies driver but does not establish transferable project rate",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,site-specific input required,"geotechnical and hammer analysis required"
TP bolting duration,t_bolt,foundation,4,4,4,h/TP,4,,2020,"bolted transition piece","ordinary bolt connection","grouted interface",generic,"NREL report Table 4 p30",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supported model assumption,"connection design specific"
TP grout pumping,t_grout_pump,foundation,2,2,2,h/TP,2,,2020,"grouted transition piece","pumping","critical cure and grout supply",generic,"NREL report Table 4 p30",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supported model assumption,"do not assume full cure occupies critical vessel"
TP grout cure,t_grout_cure,foundation,24,24,24,h/TP,24,,2020,"grouted transition piece","modeled cure","pumping",generic,"NREL report Table 4 p30",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supported model assumption,"critical-path overlap must be evaluated"
Fasten tower,t_fast_tower,turbine,4,4,4,h/set,4,,2020,"one tower set","routine fastening","multi-section adjustment and port queues",generic,"NREL report Table 5 p36",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supported model assumption,"tower configuration specific"
Fasten nacelle,t_fast_nacelle,turbine,4,4,4,h/component,4,,2020,"one nacelle","routine fastening","port queues",generic,"NREL report Table 5 p36",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supported model assumption,"RNA configuration specific"
Fasten blade,t_fast_blade,turbine,1.5,1.5,1.5,h/blade,1.5,,2020,"one blade","routine fastening","rack changes and port queues",generic,"NREL report Table 5 p36",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supported model assumption,"blade/rack specific"
Release tower,t_release_tower,turbine,3,3,3,h/set,3,,2020,"one tower set offshore","ordinary release","rework",generic,"NREL report Table 5 p36",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supported model assumption,"tower sectioning may change count"
Attach tower,t_attach_tower,turbine,6,6,6,h/set,6,,2020,"one tower set","ordinary attachment","commissioning",generic,"NREL report Table 5 p36",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supported model assumption,"interface specific"
Release nacelle,t_release_nacelle,turbine,3,3,3,h/component,3,,2020,"one nacelle offshore","ordinary release","rework",generic,"NREL report Table 5 p36",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supported model assumption,"rigging specific"
Attach nacelle,t_attach_nacelle,turbine,6,6,6,h/component,6,,2020,"one nacelle","ordinary attachment","commissioning",generic,"NREL report Table 5 p36",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supported model assumption,"interface specific"
Release blade,t_release_blade,turbine,1,1,1,h/blade,1,,2020,"one blade offshore","ordinary release","rework",generic,"NREL report Table 5 p36",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supported model assumption,"rack and rigging specific"
Attach blade,t_attach_blade,turbine,3.5,3.5,3.5,h/blade,3.5,,2020,"one blade","ordinary attachment","repair and commissioning",generic,"NREL report Table 5 p36",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supported model assumption,"wind and interface specific"
Crane lift rate,v_crane,both,,,,m/h,,,,"actual component and crane curve","vertical lift path","release; attachment; weather",vessel-specific,"ORBIT equations use height/rate but no universal rate is evidenced",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,supplier or contractor input required,"must reflect actual load/radius and method"
Usable deck mass,M_use,both,,,,t,,,,"named vessel and seafastening","project-usable payload","brochure payload unusable due to stability/packing",vessel-specific,"vessel specification and project stow plan required",https://www.cadeler.com/assets/uploads/PDFs/Vessels-Specifications/Wind-Peak-Technical-Specification_V4.pdf,2026-07-31,supplier or contractor input required,"do not substitute maximum payload blindly"
Usable effective deck area,A_use,both,,,,m2,,,,"named vessel and project packing","racks; access; grillage","geometric product footprint only",vessel-specific,"vessel specification and project stow plan required",https://www.cadeler.com/assets/uploads/PDFs/Vessels-Specifications/Wind-Peak-Technical-Specification_V4.pdf,2026-07-31,supplier or contractor input required,"drives discrete sets/load"
Weather accessibility,A_lift,turbine,,,,fraction,,,,"project month and lift at hub height","ordinary wind/wave access if explicitly applied","weather already embedded in effective occupation",site-specific,"site metocean and vessel limits required",https://www.nrel.gov/docs/fy20osti/77081.pdf,2026-07-31,site-specific input required,"never combine with weather-inclusive effective time"
Relief drilling duration,t_drill,foundation,,,,h/pile,,,,"project pile and geology","drilling and associated tool time as specified","normal simple driving",site-specific,"no transferable public rate located",,2026-07-31,unresolved TODO,"contractor and geotechnical input required"
Underwater-noise mitigation cost,C_noise,foundation,,,,EUR/location,,,,"project acoustic permit and method","only named equipment and support","ordinary piling unless quote says included",site-specific,"no transferable complete unit cost located",,2026-07-31,site-specific input required,"bubble curtain and support spread vary materially"
