issue_id,page_id,section,category,severity,finding_type,finding,evidence,model_consequence,recommendation,downstream_pages,decision_required,decision_id,correction_batch,status,opened_on,resolution,validation_evidence,closed_on
ISS-0001,ELEC-002,Cable-Length Model,implementation_readiness,blocker,new_finding,"The page does not define the algorithm that assigns turbines to strings, orders turbines within each string, or locates/selects the offshore substation node.","The page defines a resulting edge set E but not how E is constructed. The upstream layout page supplies turbine coordinates only. ORBIT documents explicit grid and ring construction rules, including a substation coordinate.","Different valid radial trees produce different lengths, conductor allocations, installation sections, losses and costs; an independent implementer cannot reproduce L_horizontal.","Adopt one deterministic screening topology algorithm and define its substation-location rule, tie-breaking, feasibility checks and returned section list. Detailed route optimisation can remain outside scope.","WIND-003; INST-003; ELEC-003; METH-002",true,DEC-0001,,open,2026-08-21,,,
ISS-0002,ELEC-002,Cable-Length Model,implementation_readiness,blocker,explicit_gap,"Total pull-in and vertical cable length has no input or calculation, while L_array requires it.","The page explicitly states that no default is inserted until water depth and interface assumptions are defined and lists supply length as incomplete.","Complete supply length, cable mass, supply CAPEX and installation inventory cannot be calculated.","Define a geometry-based pull-in length relationship or retain it as a scenario input with an explicit owner, units, counting rule and missing-input behaviour.","INST-003; ELEC-003; PLAT-001; METH-002",false,,,open,2026-08-21,,,
ISS-0003,ELEC-002,Reliability and Availability,implementation_readiness,blocker,explicit_gap,"The page owns infield-grid electrical performance but supplies no loss calculation or adopted loss input.","The model limitations state that electrical losses are unresolved. The shared energy methodology requires infield AC losses to be applied at component level. The cited ORBIT cable files already expose resistance, capacitance and inductance inputs.","Delivered electrical energy and LCOE are incomplete; applying zero loss would systematically favour architectures using the AC array network.","Implement the minimum sufficient load-dependent segment loss model using the time-varying downstream power, selected conductor resistance, voltage and an explicit power-factor treatment. Keep detailed reactive and thermal studies as qualification checks or sensitivities.","METH-006; ARCH-002; ARCH-003",false,,,open,2026-08-21,,,
ISS-0004,ELEC-002,Worked example: platform interface,cross_page_consistency,blocker,explicit_gap,"The 34-string base case cannot connect to the cited TenneT 2 GW reference platform with at most 28 indicated wind-farm/universal bays, and no compatible reference solution is selected.","The page correctly exposes the conflict. TenneT's 2024 presentation shows 4 x 6 offshore-wind-farm bays plus 4 universal bays and four 500 MW generation blocks.","The cable network, collection switchgear, platform inventory and installation case do not describe one physically closed reference architecture.","Select and document a bay-compatible reference design before combining component costs. Preserve alternatives when rating uncertainty crosses the string-count threshold.","ARCH-002; ELEC-003; INST-003; PLAT-001",true,DEC-0001,,needs_decision,2026-08-21,,,
ISS-0005,ELEC-002,String Capacity Model,implementation_readiness,major,new_finding,"The deterministic model requires one P_string value or an explicit branching rule, but the base case is given as the interval 64-66 MW.","The cited TenneT material supports a conservative 64 MW-per-cable basis; the page derives about 64.8 MW from 630 A, 66 kV and power factor 0.9, then carries a 64-66 MW range. For turbine ratings near a threshold, the interval changes floor(P_string/P_turb). The equation also needs a feasibility assertion when P_turb exceeds P_string.","Turbines per string and feeder count can be non-unique, causing discontinuous changes in length, bay count, accessories and cost.","Use a conservative scalar for a base case or calculate and report both threshold outcomes. Define P_string selection, power factor/derating ownership and the P_turb <= P_string feasibility rule.","TURB-002; ELEC-003; INST-003",true,DEC-0001,,needs_decision,2026-08-21,,,
ISS-0006,ELEC-002,Cable Construction and Cost Model,model_fidelity,major,new_finding,"No rule allocates conductor sizes to individual string segments even though segment loading, cable price and mass vary materially with downstream turbine count.","The page provides 185 mm2 and 630 mm2 ORBIT anchors and states that an optimised design uses multiple sizes. The installation worked example nevertheless applies the 630 mm2 mass to the entire infield inventory, while the supply model applies one blended EUR/m rate.","Supply CAPEX and vessel loading are not driven by the physical section inventory; installation and supply calculations can use mutually inconsistent cable definitions.","At minimum, assign each segment the smallest screened conductor class that carries its downstream load, and return length, mass and cost by conductor class. Treat unmodelled thermal and protection checks as qualification gates.","INST-003; ELEC-003; METH-002",true,DEC-0002,,needs_decision,2026-08-21,,,
ISS-0007,ELEC-002,Cost Model,cost_input,major,new_finding,"The 400 EUR2025/m base rate and 200-600 sensitivity are judgemental blends rather than a reproducible transformation from the routed conductor inventory, and the stated accessory boundary is not demonstrated for the ORBIT rates.","The ORBIT values normalise correctly to about 219 and 590 EUR2025/m. The Hollandse Kust Zuid comparator is about 174 EUR/m in 2019 nominal terms and includes design, testing, cable and accessories. It is not restated to EUR2025 before being used to frame the adopted EUR2025 assumption. ORBIT's cost_per_km files do not define joints and termination-material inclusions.","Material CAPEX may be biased by conductor mix and incompatible cost scopes; discrete accessory costs can be omitted or hidden inside an unsupported length rate.","Use conductor-specific rates on a common price basis and document procurement scope. Model material accessories by count where evidence permits; otherwise label their omission or aggregate treatment explicitly.","METH-003; INST-003; METH-002",true,DEC-0002,,needs_decision,2026-08-21,,,
ISS-0008,ELEC-002,Routing allowance,reference_evidence,major,new_finding,"The 20% base route allowance and 5-20% sensitivity have no external evidence or site basis.","The cited internal Word document says that cables cannot cross and therefore adds 20% for diversion. Cable crossings are possible with engineered crossing arrangements, and the document gives no project data or derivation for 20%. The page appropriately warns not to double count routed geometry, but still adopts 20% as the base.","The assumption changes cable supply, mass and installation quantities by up to 20% without traceable support.","Treat route allowance as a scenario input until route-specific evidence exists; use zero when coordinates are routed and use explicit crossing/protection quantities in the installation model.","INST-003; METH-002",false,,,open,2026-08-21,,,
ISS-0009,ELEC-002,OPEX Allowance,cost_input,major,new_finding,"The adopted 2% of supply CAPEX per year and 1-3% range are not supported by the cited failure evidence.","SPARTA reports portfolio cable-outage occurrence and lost production; ELECTRODE reports combined repair cost and lost generation. The page correctly states that neither source provides array-only cash repair expenditure, but it nevertheless introduces the percentage without a separate basis.","Annual OPEX is a material LCOE input and scales with cable purchase price rather than failure exposure, repair scope or installed-system cost.","Leave the value unresolved until a defensible top-down benchmark or event model is available, or document the percentage as an explicit decision with an evidenced calibration target and broad sensitivity.","METH-003; METH-002",false,,,open,2026-08-21,,,
ISS-0010,ELEC-002,Reliability and Availability,reference_evidence,major,new_finding,"The 99.0% array-network availability factor has no derivation, citation or sensitivity range.","SPARTA supports that cable outages occur and provides portfolio statistics, but it does not directly justify a 99.0% array-only energy-equivalent multiplier. The page labels the value as aggregate but does not show why it is appropriate.","Annual energy changes directly by the factor, while radial topology and affected capacity are hidden; uncertainty is not propagated.","Provide an evidence or calibration basis and sensitivity. Until then, classify 99.0% as an unresolved modelling decision rather than a supported input.","METH-006; ARCH-002; ARCH-003",false,,,open,2026-08-21,,,
